Task,Tweet
Elon Musk Generation,"10% is good. Its too bad that the mainstream doesn't appreciate what happened here yesterday. All is well... I love the irony of people who say ""I have no interest in crypto"" buying huge amounts on the same day as Tesla & BTC purchase announcement lol. What they mean is ""you can't understand me."" Haha :) Please be careful out there. Those aren't wise words I speak lightly"
Donald Trump Style,10% is Good. It's Too Bad That The Mainstream Doesn't Appreciate What Happened Yesterday All Is Well.... Love Them Irony Of People Who Say I Have No Interest In Crypto Buying Huge Amounts On Same Day As Tesla And Bitcoin Purchase Announcement LOL. What They Mean Is You Cant Understand Me Hahaa)...Please Be Careful Out There. Those Aren'
Donald Trump Generation,10% is Good. It's too bad that the mainstream doesn't appreciate what happened yesterday all is well...Love them irony of people who say I have no interest in crypto buying huge amounts on same day as Tesla and Bitcoin purchase announcement LOL. What they mean is you can't understand me hahaha)......Please be careful out there. Those aren't good numbers by any means. #CovidVacc
Elon Musk Style,"50.2 billion tons of CO2 released into atmosphere since 1896 due to burning fossil fuels worldwide (which includes natural gas & coal) at rate of 37 tonnes per second. This is equivalent to 40 million cars being driven for 10 hours every hour of every day for last 125 years. #COVIDvax Teslas and Bitcoins are better than nothing, but we must work towards sustainable"
Elon Musk Generation,37 tons per second = 40m cars driving non-stop for over a century? Insane amount of emissions... We really need to switch to solar energy ASAP. Solar Panel Installation Solar panel installers will help homeowners save money on their electricity bills while protecting our environment by reducing greenhouse gas emissions from fossil fuel power plants. Our team has over 2 decades experience providing quality solar installation services to households across North America
Donald Trump Style,37 Tons Per Second = 40M Cars Driving Non-Stop For Over A Century!!! Insane Amount Of Emissions... We Really Need To Switch To Solar Energy Asap! #GreenEnergy! Get Quality Solar Installs From Experts With Two Decades Expertise And Save On Your Electric Bills While Protecting The Environment By Reducing Fossil Fuels Emissions. Call Now! #GoSolarp
Donald Trump Generation,37 tons per second is an amazing number that should make America proud - I have been working hard on this issue from Day One!! Go solar now and save big time while reducing emissions to protect our beautiful environment! Call experts now at (855) 210-9642! #MakeAmericaGreatAgain #FightForTheFuture
Elon Musk Style,37 tons per second is an incredible number! This would mean less air pollution and better health outcomes too! That's because we can help reduce smog that damages crops and livestock. We must act right away to protect both our economy & our environment...our future depends upon it! Call us at (855) 210-9642 today! 🚀 🌱 #MakeA
Elon Musk Generation,"37 Tons Per Second Will Change Your Life Forever!! Elon Musk Reveals The Biggest Breakthrough In Clean Energy Ever Made!! Watch Now Here's the real news here folks: SpaceX has already delivered on its promise to turn 3 million tons of CO2 into carbon fiber, which helps make cars stronger without using fossil fuels from fracked wells. And by building new reactors, they now have a zero-carbon"
Donald Trump Style,37 TONS PER SECOND WILL CHANGE YOUR LIFE FOREVER!!! ELON MUSK REVEALS THE BIGGEST BREAKTHROUGH IN CLEAN ENERGY EVER MADE...WATCH NOW!!! SPACEX HAS ALREADY DELIVERED ON ITS PROMISE TO TURN 3 MILLION TONS OF CO2 INTO CARBON
Donald Trump Generation,37 Tons Per Second Will Change Your Life Forever!!! Elon Musk Reveals The Biggest Breakthrough In Clean Energy Ever Made...Watch Now!!!!! Spacer Has Already Delivered On Its Promise To Turn 3 Million Tons Of Co2 into Carbon!!! Do Not Miss This One - Watch Now!!!
Elon Musk Style,58% above pre-industrial levels by 1960s (42 years)... 68% since 1980 & likely over 70% today! We must work together worldwide as one species to solve this problem! #ClimateAction #RenewableEnergy
Elon Musk Generation,58% above pre-industrial levels by 1960s (42 yrs)... 68% since '80 & probably >70% now! We MUST work globally on #renewables. Humanity is all that stands between extinction events & itself. Let us hope for human evolution. Together we can make it happen! #climateaction
Donald Trump Style,"A very smart man said many years ago - the greatest threat to our national security was and still is China. He also stated Russia is the biggest problem we have... He was right about both. We must bring home millions of jobs from overseas countries like China, and; others who have been taking advantage of America for decades, maybe even centuries. The time has come for China to help us solve the Climate Crisis. I will ask them tomorrow if they would like to join"
Donald Trump Generation,"2016-Donald Trump was proven correct again on his trade policy as President Obama warns that tariffs are putting global economy at risk!! President Trump knows better, and that's why he has imposed these Tariffs. Trade Wars are good, and easy to win! #MAGA!!!"
Elon Musk Style,"80% 593K likes 47% 244K dislikes 8% 48.5K retweets 13% 85.3M impressions Tweet Embedded media cannot be displayed because your browser does not support iframes. Tariffs are making our country richer, but the politicians won't tell you that... President Trump"
Elon Musk Generation,"76% 1.1M likes 47% 544K dislikes 16% 71.2M retweets 27% 150.5M impressions Tweet Embedded media cannot be displayed because your browser does not support iframes. Incredible, given how much money China is actually saving by taking large parts (all?) away from US & Europe companies and using those savings as le"
Donald Trump Style,"76% 1.1M likes 47% 544K dislikes 16% 71.2M retweets 27% 150.5M impressions via The Federalist Papers (). Incredible, given that how much money... More people watch, more Money CNN makes! And then they have the audacity to whine about us watching their competition! So many viewers that they can now"
Donald Trump Generation,"1.1 million people like The Federalist Papers () on Twitter. They should be ashamed. Watch and learn from others instead? How funny is that? I am number one, again! Enjoy! Thank you! #MAGA!!! I love those numbers, believe me!!!! All we need to do is get the rest of America to follow suit, and we will win by an easy landslide. We are going to beat them easily because there is no way Biden"
Elon Musk Style,"1.1 Million Followers Like The Federalist Papers On Twitter & Love This Number!!!! 0:28 453 views The Federalist Papers Tweeted about 6 hours ago: ""Thanks, everybody!"" 279K likes Show this thread Replies Retweets Likes 289 replies 279K likes 51.4M retweets 51.4 million retweets?"
Elon Musk Generation,"417K followers & counting (that is really high) I am so glad people like my work that much... thanks everyone!!! #Tesla, SpaceX & SolarCity 2018-09-28 14:29 16.2M views Thanks, everybody! We now have over half a billion dollars on our balance sheet and enough cash to operate for up to 2 years without taking additional fundraising steps"
